Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"TNS1"	5.2711430172	1.9458847795	3.7039671803	6.5883964906	4.736283335	2.1631325076	5.0430944203	5.0033718594	5.28035677	1.6215791228	5.3534866921	2.9254958833	4.7612248263	6.3336100542	3.1107387971	3.8961315438	4.0356512676	5.1353499242	4.8788298976	4.1261593458	5.916344449	5.0365891415	5.3200045718	3.4401678696	4.7037050746	5.2892356488	5.3553062553	2.1536951533	2.8274539932	5.9889303854	0.8583499218	3.1992316397	2.8227718173	3.4370316846	5.6068652552	4.6156408156	3.6011230251	4.3592804633	2.8052058841	2.5787263642	1.7061278669	3.9566987323	2.1356611081	4.9474786142	6.270617812	2.9041885393	4.7867391929	4.4093947507	4.4866664588	5.6593534026	3.4074484602	5.9331118128	3.1367404584	4.7618049758	5.0065796057	2.8598080971	4.5208748505	5.6361848863	4.9689291707	0	3.4934832368	4.6280862896	2.3094847046	4.9974168447	5.8698477886	2.5064586001	1.8504394388	4.0943788257	5.3332300399	0.8394380237	4.2665463847	2.5315549202	2.8890433841	2.6292689922	3.3076247604	2.7914794715	1.7739052596	4.1261593458	4.4286376813	3.8223516707
"TNS3"	3.4804729701	2.8544514378	3.1401453853	3.1326614152	2.2880867182	1.4577644965	3.4405410586	2.7781015648	3.3013076268	1.0959182721	3.5244364256	1.2051815986	2.6506331696	2.8046435551	2.5802016056	3.1171122984	2.1919628132	2.8939788839	3.0812837213	3.372462291	2.4170818032	2.7425081258	2.7783006445	1.7940329033	2.1730270359	3.0379067849	1.694778966	0	1.8122680357	3.361100742	0	2.3015123645	1.9837049273	2.9566339515	3.2247713946	2.9632294572	1.133365533	1.9604063552	2.5003179771	1.542374329	2.1827797647	2.4169214678	3.5003077997	2.4531009334	2.7197168571	1.9660810187	2.8887853765	2.5114381624	1.5270815654	2.5325400491	2.5921469386	2.1777117582	2.9566732098	2.9895205116	2.287939986	2.3686936621	3.6075602286	3.4982047348	1.8483400792	2.4107213637	3.1891185563	2.5921469386	2.0131825014	2.468575516	2.6191312127	1.4918524855	2.6169422206	2.8134328324	3.0615980371	1.6232900243	1.1888253435	2.5308419193	2.5835565778	1.6341587285	2.2264177808	2.4867103846	0	3.372462291	3.6132990823	2.8771606186
"TNXB"	5.3504859421	1.2611254377	0	6.0274356341	3.3406550302	0	1.2594177162	3.3217663856	4.3323210808	0	4.5816329962	2.2542529712	4.1585269883	0	2.6458012457	3.7544566752	4.4035514688	4.4294508157	3.1234831195	2.3034501774	3.3841444159	0	4.0815506444	1.2989199246	4.2181839967	3.8020436224	3.800220589	0	0	5.7532418965	0	0.831423382	0	0	5.2726653215	1.2418988853	2.8051417502	4.1342834666	0	1.8251037791	0	3.1535324521	0	0	5.9605830313	0	3.8390171768	1.2418988853	2.8734242569	4.3760815494	0.831423382	4.88032752	0	3.1973669269	3.0742189876	0	3.3974764437	4.1027090912	4.2391095351	0	1.2418988853	3.7293765021	0	1.2621765732	4.7435107294	2.8281372767	4.0180841531	2.4915169899	4.8538246719	0	3.438796884	0	0	1.418829222	1.8354032158	0	0	2.3034501774	0	2.7710100354
"TOLLIP"	1.4391364217	1.9149786746	1.4871787837	2.212541425	1.9661184332	2.0299862046	1.4730785257	1.8945022548	1.732391499	0	1.2876667098	0	1.9232208196	1.9681313029	1.9085588594	2.3308462592	2.0135563703	1.9810025889	1.0858831134	2.4133506687	2.5792321564	2.3528742588	1.7995502361	2.034243348	2.2985569209	1.0934050791	0	2.1475598803	1.9324903014	2.5754132273	2.3187132831	2.6811139025	1.8342406304	2.3607209796	1.070705814	2.2762374475	2.2857261413	1.418953178	1.7884389552	1.4042134352	0.9139219424	2.5445888619	0.9718552147	1.9493752001	1.7749123436	1.6695999536	1.3004746859	0.9139219424	1.3894460702	2.3308404071	1.4750021308	1.1412548329	1.1956481836	1.5023769183	1.969520335	1.070705814	2.9137574097	1.6371724508	1.9692278488	2.2559831383	1.8565890585	1.8319266146	2.231270681	1.5552537554	1.0934050791	3.0751498878	1.3169546859	1.3017094021	0	1.1046061864	1.2912030162	1.8427377021	1.2177802261	2.5091794702	2.6813530318	2.6085089296	2.656080266	2.4133506687	2.5727547283	1.9383848543
"TOM1"	3.0432213853	2.3929038588	2.1331618385	2.1262145408	2.0309623182	2.205611286	2.6766724312	2.8841517284	2.8199573621	1.2637942965	2.3686457851	2.2402509201	2.827979733	2.9052367455	2.5342114054	2.987247618	2.3763970392	2.0456237882	3.2481310726	2.8163280621	2.506854003	2.2715797855	2.9528553773	1.5474407592	2.6684190601	2.7964085314	2.6791025889	2.6460043289	3.2526666499	2.7988023839	1.1956732064	2.9203828188	1.7368333375	1.6590338187	2.6148466575	2.3846796424	2.8458800376	1.3152724614	2.4912833793	2.2876572897	2.4916001752	2.2610421576	2.9293967289	1.4503316454	1.6761717286	2.7706679056	2.7402210906	1.9743231004	2.0226821872	2.7121850202	2.6128963194	2.9570772918	2.513799609	1.9978233848	2.4713335249	2.2800006998	3.1602421036	3.5320655672	2.8220431064	2.5466700189	1.759716156	2.5161739845	1.3240013159	3.1002379454	2.5222683574	2.7105294839	1.3868332072	2.9213819704	1.9800573028	1.1733545929	3.0258864883	1.2066825015	1.8499842583	2.5638898607	2.7854124463	2.5373461881	0	2.8163280621	3.569668364	2.0036336044
"TOMM20"	2.5030072247	1.9545759669	1.2554940994	1.6622212914	2.6413380116	2.0108389506	1.8660783372	1.9147148769	2.2477436639	2.6533202212	1.4678401618	2.3997503473	1.329843124	1.7044304761	2.1206599003	1.9798014037	0	0	1.8982570529	1.1774748048	1.5715027577	2.4922165551	0	0.7823166765	1.3106551533	2.3672879689	1.2949664759	1.4666394943	0	2.5748577024	1.2949664759	1.234351719	1.5781242316	2.0796423813	2.1698164098	2.3562056618	1.5437739618	1.556646601	2.276607149	2.0870175086	2.2769026708	1.262997986	2.1716113422	1.686681259	1.5224635157	1.2507998994	2.211367422	1.7967865879	2.2702047792	1.3145473795	2.1956931852	1.3106551533	1.3692279119	1.6958455366	0	1.234351719	2.2327905453	2.1454684796	1.3565972691	2.1321961701	2.6058125922	1.6070550961	2.4793087141	2.2836404327	1.2589449303	1.2467077513	0	2.8021461533	0	1.9447039316	2.3548108098	0	1.6821575984	1.262997986	1.5387812178	2.0514788497	2.3551234031	1.1774748048	1.324961747	1.7232933392
"TOMM22"	2.8827262824	2.4317669578	1.8756932165	2.4834652239	1.5449998303	2.5963666629	2.5349913838	2.5724630293	2.8298419935	2.9352121175	2.1458842094	1.6825523749	1.5065441465	2.4533709718	2.7185604502	2.5227882522	2.4835027394	2.4474455338	2.6149738155	2.9043561781	1.3561313267	2.6598575906	1.4635852503	0	0	1.4281459328	3.4508572459	2.4530044363	3.256485282	2.8519427889	2.8182445321	2.9371691588	2.0250718036	1.8074880994	1.4008948641	2.9040138084	2.0421765491	2.8713217039	3.0257605291	2.5821375094	3.4555197138	2.6887886227	3.4421587942	1.9667388875	0.7034370939	2.0985207665	2.1416848821	3.5996055342	2.6498912741	0	3.4178287845	1.4853498441	2.4495565503	1.9077120197	1.5392841672	1.8911691966	2.4871890115	2.0617248414	1.5360671171	3.029862458	2.964418063	2.2813564367	2.6494192495	2.8576882188	2.1263311055	2.0246265713	0	3.1761625133	1.5151678608	2.6348089474	3.1649992781	2.2934573056	2.1882203346	3.0245676853	2.087553947	2.5529166995	2.6179787573	2.9043561781	2.6556692172	2.782777387
"TOMM34"	2.9037150747	2.0578492561	3.3318931835	0	3.4045264725	2.7861881962	1.6243775725	1.6749660597	3.7321473784	2.3166357342	3.5856361233	1.1883548368	1.803241287	2.3893802449	3.291140406	2.4550992352	1.8948673469	3.2091850694	2.3781253192	1.06183223	2.6967468805	2.4802524342	2.8123738638	2.8917869234	1.0250081536	2.3816531947	3.0604480789	1.1334342931	2.6240010928	1.6760564786	2.2061476692	2.9553839452	3.9129107903	3.8228847847	2.7136974347	3.0640191277	2.4158189567	2.4818069581	2.4727206323	3.4323672454	3.8656829475	2.4379885477	3.78840115	3.6522925577	1.1483545604	3.3894353251	3.2255241731	3.8209373696	1.5411875241	2.2185673014	4.2670580293	2.5288459238	2.3489738594	3.4734997048	1.0691952348	3.6340923185	2.5583253112	3.9274866016	2.3141965979	2.3872438209	3.2511867031	3.0421132162	3.5257670332	2.4424411071	2.879345819	1.9028624503	2.1011004861	2.9207466673	1.0493906802	3.9532187566	4.7109463937	2.822191442	2.7546505366	0.9821891528	2.7941049064	2.9156583095	2.5527865564	1.06183223	1.7129592426	3.6001861562
"TOMM40"	3.6216267549	2.8238163091	2.8915433413	2.5511372342	1.7525180266	3.1518407442	2.645884862	2.8511765177	3.2011890481	3.060001002	1.862474532	1.8856943374	2.5487427613	3.1778861738	3.1121086819	2.3916555964	1.6114742	3.0535394703	2.3089013414	2.1382077626	2.1303698137	2.9189474068	2.4195254263	2.054503757	1.6943394928	1.6382786154	3.2587043951	2.166511041	2.5583615711	3.555088387	2.9521769736	3.0618031253	2.6158874548	2.0513115793	2.5827153924	3.1068428746	1.3901602501	2.8594931613	3.1589449277	2.7428800324	3.5736040348	2.3684820299	2.5775097324	2.0449327626	2.0735935701	2.7194179133	1.6114742	3.100959739	2.8882759974	1.6985433151	3.5028556034	2.4668536719	1.7573761349	2.9098492356	1.7469551743	1.6114742	2.2064633128	2.8224202696	1.7438230542	3.3115200151	3.4936158166	2.8104877517	2.5426964992	2.9566057125	3.3773718209	3.0105100108	1.895547384	3.7632736388	1.7234563832	2.356097611	2.7666635537	3.2903543351	2.839470387	2.8104845051	2.417457128	2.7248413164	1.8663722964	2.1382077626	2.0659923986	2.919434868
"TOMM5"	1.0816067252	1.0864642157	1.0864642157	0	2.1326961168	2.0695189	1.0847305356	1.8242235077	1.5276378231	2.4646330838	1.1387569227	1.9224328763	0	1.4826520536	0.9503958575	1.2155209848	1.1784271712	2.1373944383	1.4947881327	2.1951119685	0	1.610275314	0.9957465712	0	1.0115660045	0	0.9989579948	2.0586235597	1.7040064639	1.5848067611	2.0469278116	2.1448061038	1.6692617249	1.6289026749	0	1.5648932515	0	0	1.0704193757	0	2.0447103538	1.5441381013	1.1391772885	0	0	1.8425054664	1.5059757628	1.594795856	1.073878919	1.0146964084	1.7468999259	0	2.1713681477	1.3259916277	1.0509328985	1.6631579447	0.9602756064	1.4440229891	0	1.5576097411	1.3951689621	1.2527020465	1.0795932007	1.0875315208	2.1791133554	1.4154339875	0	2.0431285814	0	1.5338472173	1.1418335197	1.6247874734	1.4452979267	2.2172107134	1.0767381877	1.0961461918	2.3490450074	2.1951119685	1.0961461918	1.3487424874
"TOMM7"	0	0.9498644362	0.9498644362	1.7173697093	2.270556908	1.5668247816	1.3757754204	1.4148229813	1.3845084972	1.2505134422	1.0921390992	0	0	1.2020129694	0	1.4867759714	1.0921390992	0	0	0	1.0317588804	1.5961205036	0	1.5095564224	0	0	1.1635761359	2.3098744677	2.225649587	1.0921390992	1.1635761359	0	1.3185532423	0.9371879158	0	1.2534818061	1.6224468587	1.8531441206	1.3086700863	1.636982581	0.9371879158	1.1257945194	0.983977091	1.4367135653	1.0077164919	0	1.0921390992	1.574630601	1.311572605	1.1868294238	1.1868294238	0	1.2521925977	1.0921390992	0	1.0921390992	0	1.2947623212	0	1.5471886833	1.8588293221	1.5427799217	1.6719221005	1.4385586381	0	1.1066320327	0	1.243823948	0	1.1353073401	0	1.1775609053	1.1785657119	0	1.8301248455	1.4722412799	0	0	1.4441549596	1.0940408506
"TOMM70"	3.9779807482	4.2119918127	4.2846937408	4.0355867024	3.6925472778	3.6051501631	3.4217919109	3.4574264211	4.6776783076	2.1719686797	4.0656576958	3.2280842349	3.3064364947	4.2618532334	4.2693978318	4.2091532101	4.2163582703	4.0162386342	3.7892720953	4.3115981377	3.5422437049	4.6694171407	3.9575660963	3.488013964	3.089519797	4.0869450094	4.0683790294	3.1274705025	4.5978614969	3.8262473231	4.8881097702	4.4233149366	4.6105391793	4.4212756721	4.4952522119	4.5057393067	3.9197226314	4.3960913571	4.1697669032	4.095856082	4.421255227	4.4281883078	4.1631832362	4.3227529229	3.4960129065	3.6780488896	4.3106033288	4.7500974312	4.0919781502	3.9900026844	5.2922268113	2.5089588795	3.5393442266	4.5527926916	3.7383001206	4.3912619054	3.6738123631	4.7440129386	3.5014248977	4.1396564029	4.9234628901	4.1337308294	4.0577407649	3.4584440148	4.3078941222	3.4822892297	3.6720416898	4.9197483386	3.5944012327	4.6092451982	4.1136283887	3.8555906356	3.6256008994	4.5013144606	4.087007633	4.3693987805	4.7586192973	4.3115981377	3.7094779357	4.6971588426
"TOP1"	3.6407880822	4.1398533909	4.2122337261	3.8309975915	4.3466874859	4.1994068871	3.6007548401	3.2953420112	4.6553655459	3.7412977154	4.0276313894	0	3.5830189518	3.0921981527	4.0067830748	4.3411034874	3.0171585761	4.0720372574	4.4538707177	3.9509404933	3.5956444801	3.8289011277	2.8886759861	3.1842278614	3.1413416877	2.7479249883	4.1243477649	3.0616865106	3.8925457136	3.8813856554	3.4444505313	3.6139294175	4.9820957758	3.8114579525	3.7612743166	4.0647586806	3.3390730339	3.8034901088	3.5362533772	3.9712654207	4.1979325145	4.001310837	3.8897143043	4.7108421931	2.6520110693	3.732624025	4.2938424952	5.450642479	3.5241897078	2.9222768552	4.7631641384	2.5569658827	3.062366694	4.4868792026	2.6710574732	4.725737454	4.5259613972	4.2493926736	3.9278049175	4.258081876	4.3332764764	4.1899064905	3.4733711999	3.941745677	3.4325892728	4.4755807731	4.217775411	4.107343832	2.6091579061	4.5629023373	3.5174105089	3.4021186846	4.2885171687	1.9839358768	4.1281168921	4.2194355081	3.2893675329	3.9509404933	3.2414864702	3.795008662
"TOP2A"	2.217520497	1.0134231777	0	0	0	3.0132196088	2.1991840534	2.8052931435	1.9754472839	0	3.5249677642	0	0	2.3147042956	0	1.993571225	1.2676636646	0	2.9659083416	0	1.1161220747	1.8363121402	0	1.7251681387	0	0	1.0613103118	1.0713329998	0	0	1.0613103118	3.0182494744	3.8469807739	1.4482820586	0	2.3320326653	1.0976203289	2.6275667332	1.467771932	1.001571866	2.8075096436	1.0319222182	2.5045008616	0	0	2.3735041613	2.9898321195	2.1291223883	1.8724509758	0	2.9771378918	0	1.1299748227	1.0056786844	0	3.9175628899	1.016987722	2.3650220595	0	1.3914955726	2.7856231401	2.1258109379	2.8071933872	2.0365569955	0	1.016987722	0	3.9874114984	0	4.120841837	2.0816692406	0	3.5343343669	0	1.4947845339	3.8370625748	0	0	0	3.3661152548
"TOP2B"	3.3813451774	3.4068149086	3.2944278993	3.1603665157	2.2394198848	3.5371474382	3.4556859496	3.3943682563	3.1241562345	2.6160770333	4.1606614686	0	2.6109446138	4.3673453389	3.3506678114	4.0303557674	3.8748088609	2.2447477537	3.2507785726	3.0632440698	2.7784156516	4.0469206257	3.8519969918	2.9752312253	2.9329600198	3.3600094075	2.7420553015	0	2.5553912494	3.3418188217	3.9949287993	4.007754796	4.1809107442	3.4380363881	3.3445740175	3.7387625698	2.4944475605	3.7945852668	3.3763935095	2.973880671	3.7601118369	3.7071299727	2.9432680256	3.3190382056	2.9760271843	3.4561610063	3.6051768236	3.7922046359	3.4753822669	2.4897849717	4.2778864917	2.4611843934	2.2832782603	4.0980618927	2.5877202655	4.48993839	3.1446223561	3.2424407867	3.3355900421	2.8152312693	4.4421407086	4.0773774624	3.6135153674	3.1615675025	3.5184923565	3.7950953868	2.9860324459	4.2136600847	2.5342505573	3.8760838602	2.8189285267	2.7517895721	2.4296161319	1.5739693427	2.2872993756	3.7762007085	3.371782668	3.0632440698	2.9762964086	4.1695747091
"TOR1AIP1"	3.0113762108	3.6124351982	3.4683175942	2.6836044548	3.6487949862	3.4611751831	3.3468464002	3.3071849396	4.0070207423	3.8974663091	3.8371668813	3.878793637	3.1322414578	3.7429834346	4.0267565908	3.146267146	3.5541503996	2.8031842416	4.3413245412	3.8144386066	3.5660362359	4.1706636375	3.7366523199	2.8818634281	3.4999039932	3.2016000879	3.1828058348	3.1915345424	2.7897984559	3.7211006656	3.7666105257	3.0885346461	3.7978616482	4.789202523	3.2323507354	3.0090490005	3.0698514961	3.4223238483	3.2818998799	3.5433544632	3.478764999	3.2962687468	3.4663787487	3.5836657189	2.6580376335	3.3176126054	4.1343320877	3.4989927092	3.6015123042	3.1770646788	3.6181450712	2.3944243099	2.0916441765	2.6137178927	2.4990541575	3.4215910707	3.9509376842	4.1680973372	3.1015718871	2.9110814494	3.8853767838	3.7129738119	3.9824724248	3.2541622901	3.3766305343	3.5889973308	3.180864262	3.2656281929	3.0208900748	3.0770831241	3.5052364162	3.7705743807	3.751327887	3.7275886543	3.8106877976	4.1162297283	3.5278579098	3.8144386066	2.8949795357	3.4013698138
"TOR1AIP2"	0	0.9985373375	0	0	1.1462126519	0.9837736704	0	1.8782067754	1.0186622477	0	1.7053463154	0	1.1118908912	1.2942451848	1.4927874946	0	1.0186622477	1.1483735745	1.0346338007	0	0	0.9837736704	0	2.0028008808	1.0930616379	0	0	0	1.138222305	1.3678773779	1.0777014215	1.0186622477	0	0	1.0186622477	0	1.076979632	0.9948615026	0.9863893258	0.9874797257	0.9837736704	1.0465022694	0	0	1.0660634128	0	2.0155848177	0	1.4235603956	0	1.4495359349	0	1.1506841288	1.0186622477	0	1.0186622477	0	2.4707798474	0	1.3495814421	0	1.8363763956	1.4582636591	1.573780029	0	0	0	0.9837736704	1.1195700429	0	0	0	1.6638497467	0	1.4451008634	0	0	0	1.0058591793	1.0202366773
"TOR1B"	0	1.044719219	0	0	0	1.0280472541	0	0	1.6153150721	1.0953919087	1.8899922877	0	1.8018907266	0	0	0.977507192	1.6237038263	0	1.5788832509	1.9776141128	0	0	1.0272985193	1.0775569609	1.0446868323	1.6149553277	1.0308276376	0	0	0	1.0308276376	1.7125117724	1.0280472541	1.5032300977	0	1.4494749628	0	1.0405672736	0	0	0	1.0026610214	0	0	0	1.5541420051	1.8734466807	0	3.5587513905	1.7556017401	1.6243289867	0	0	1.810977412	1.0879986221	0	0.9883467967	1.5225959545	1.8470109091	1.0280472541	0	0.977507192	1.0388458555	0	0	1.8982640428	0	0	0	1.0097597527	1.1882020823	0	1.0280472541	2.3798708435	0	0	1.188113097	1.9776141128	1.0529913243	0
"TOR2A"	0	1.0576200914	1.0576200914	0	1.7482576146	1.0374810068	0	0	1.1697500532	1.0806717665	0.9740004703	0	1.7109721925	1.0374810068	0.9740004703	1.2372132904	1.2004779403	1.0799159627	1.5130481896	1.0425312583	0	1.0374810068	1.0191412164	1.0974062671	1.0348748666	1.5451021975	1.0223357375	2.0763024403	1.07166222	0.9740004703	0	1.2759571721	1.0374810068	1.6234671251	0	1.0374810068	0	1.0526007821	1.0410450041	1.0425312583	1.0374810068	0.9968216012	1.1121586236	1.0676278997	0	1.855145634	1.1722092194	0	1.0446178406	0	1.3228275457	1.0348748666	1.0817938636	1.3464704803	0	1.3340448824	0.9838391383	0	0	1.0374810068	0	1.274009478	1.0505205071	1.0587231005	0.9935903435	0.9838391383	1.1864252551	1.0374810068	1.0564821384	0	0	1.0317533972	0	0.9968216012	1.0475711773	0	0	1.0425312583	0	0
"TOR4A"	0.996801627	0	0	1.0146818121	1.1318504829	1.4008127601	1.9353038575	1.0087820917	0	0	1.9481772514	0	2.7191909071	2.3338093483	1.0133600651	1.0133600651	2.2539274122	1.133853355	1.630529352	1.4807855142	1.9063521749	1.8422163325	1.7347634465	0	1.7776896964	1.0356005133	0	0	0	1.3366847975	1.7670851897	1.3581105031	1.4773112721	0.9847309629	0	1.3922733437	1.8769294461	2.6556113953	1.4643782051	2.442614724	0.9847309629	2.1357810174	0	1.0087820917	0	0	1.2392685296	0.9847309629	1.4681758292	1.8110800123	1.0860845223	1.0825416846	1.1359947621	1.0133600651	1.1271100423	1.0133600651	1.0245271105	1.1683921734	1.1244433437	1.3863372931	1.6638898459	1.3558767496	2.8404104046	2.0478827879	0	2.5978193951	1.2555337326	1.3796767972	0	0	2.578191301	2.2627657612	0.9847309629	1.6859147359	1.4920314783	3.2613783164	0	1.4807855142	0	1.8734880142
"TP53BP1"	2.643012842	2.72753372	0.9220939857	2.105599615	2.0472349348	1.9378015801	0	1.4726096437	1.7982229755	1.2253452875	2.8603446564	0	1.1878440757	3.3381095685	2.3253186471	2.6803567302	2.6677179706	0	3.1405901453	2.2902533822	0	3.5753312296	1.8697827104	0.9508928756	1.1689424145	1.1181466907	3.0478824519	1.648425951	1.2142453806	4.2799832376	1.153508904	2.2584020788	2.4715759447	4.1685943825	3.1678010655	2.9142730498	1.7242466855	2.0058548836	1.3449831559	2.6301566078	2.9384530366	4.2889270044	3.1514676663	2.410336718	2.145316539	1.7313150771	2.8166884206	2.670277905	2.4230552206	2.7862129004	1.1727742861	1.1689424145	0	3.0796652089	1.2171272714	4.2280933383	2.1013077456	4.0309443603	1.2142453806	0.9074823584	2.5998853221	1.9042789807	2.8176696991	1.8822507719	1.7574889827	2.484468455	1.3557313093	2.6595219571	2.4602706658	0	1.3283327947	0	2.1116224732	0	1.3703148815	0.9293462453	1.3282342069	2.2902533822	0.9293462453	3.5507599154
"TP53I11"	0.995367171	0	0.9993513264	0	1.1332825209	1.3973181597	0	1.0072898099	1.2382590853	1.1361572756	1.0143844887	0	0	1.7619388964	1.0143844887	0	1.0143844887	0	1.0293032216	0.9873687973	1.103307042	1.8363539872	0	0	1.0838021563	1.0367001761	0	1.0579444137	1.8717399003	1.0143844887	0	1.0143844887	1.9071224036	0.9833544836	0	1.3888239151	1.0845638114	0.995367171	1.4605460933	1.8899467113	1.3762709581	1.0403832597	0	0	0	1.6083881224	1.2410821495	1.4130628172	0.9890268134	0	0	0	0	1.0143844887	0	0	1.0255892318	0	0	1.382919239	1.2511167324	1.3581139855	0.9937153858	0	0	0	0	1.3762939204	0	1.0477189328	0	1.0802375583	1.2918194239	1.6893802316	0.9913730105	1.0072898099	0	0.9873687973	0	1.0158555591
"TP53I3"	1.4540153088	0.9769885482	1.8811199053	2.7022203272	0	1.3460777174	0.9756646426	1.8721955738	1.0415312698	0	2.0418040876	2.2196904066	1.9456551696	2.2036590393	2.2716156228	0	3.042780891	0	1.7017811998	2.3446891171	0	1.7517410457	3.0024094581	1.6469602205	1.8593492707	0	1.1001352174	2.1029702127	0	1.0415312698	0	2.7590873158	1.4164380158	1.7474417833	2.6303071656	1.9760993698	1.0562425466	2.5000734549	1.4045455432	0	1.326608464	2.9180954158	0	1.9223070158	0	2.1231654864	2.0237559138	2.0281612496	1.4080377201	1.1191523241	1.0415312698	2.7072112297	0	1.955577125	2.472713915	2.2631382505	1.0534441325	2.2316859674	1.9949110006	1.6924951189	2.2847686738	2.2190641701	1.4433797372	0.9778035036	1.065259391	1.6053892908	0	1.9661127826	1.1416466938	1.7492070339	1.2731076462	2.3780796742	1.653075628	2.8624899024	2.2557848619	0	1.2730098615	2.3446891171	1.933423156	2.8846222983
"TP53RK"	0	0	0	1.0827407874	1.7343528901	1.5824031098	1.0632519157	1.0752245345	1.5331637271	0	1.1522053156	0	1.6973649621	0	1.346810393	1.2275861811	1.7752898154	1.0716852445	0.9797060583	0	1.1987295219	1.0446358495	0	1.1054419057	1.0270495167	0.9861383758	0	0	0	0.9667262257	0	1.2659912799	1.0446358495	1.0446358495	1.3677411487	1.5712413421	2.2070634254	1.0599768492	0	0	1.0446358495	0	0	1.0752245345	0	0.9797060583	0.9667262257	0	1.0518770153	0	1.5411044559	1.0270495167	1.0735462929	1.7053549997	0	1.6654980706	1.4190190477	1.451422722	0	1.0446358495	1.0446358495	1.2640605645	1.0578660941	0	0.9861383758	0	0	1.5547823026	1.6898234112	1.8939802409	1.1552285616	1.6280465148	1.4440286886	0.9893403515	0	0	0	0	1.0752245345	1.3581765305
"TPD52"	3.469738189	4.0191457516	4.0946529127	2.0686216096	3.8771979342	3.9736209226	3.0281223635	3.9949135901	3.7880992746	3.0799641765	3.880163479	3.2936225	2.723730758	3.1304118763	3.9580470949	3.9476626057	3.3968367202	2.7382079198	2.8007815462	4.1503040643	3.1580462122	3.6740737576	2.9336559721	4.4018894396	2.1844024881	3.9967421398	3.1943402317	3.7724442485	3.2688569767	3.5105785108	4.5814497793	4.3175404992	3.0982443815	3.2566044237	3.6064197593	3.8194093427	4.5855466711	3.7739852163	3.9623777744	3.4640526259	4.2651792143	3.3477390793	3.2178560519	3.3318677918	1.643194163	3.549701656	3.8674555788	3.6444501296	4.0572104183	2.2170121885	4.6488006941	3.7313563876	2.320822503	4.6576433783	2.3078702243	3.65265981	3.7035434027	4.3886085053	2.7420829001	3.6768790227	4.3567387073	2.5086730846	3.8356390172	2.9725090652	3.4328559657	1.94958144	3.4140786718	3.1222251636	3.0052884224	3.0797122884	3.5105218839	1.4709514669	3.2304438439	4.3694433169	3.7491687278	4.2165058414	3.757750158	4.1503040643	3.0249149167	0
"TPD52L2"	3.2927007261	3.1482845764	3.4688704325	2.9900524148	3.5406505955	3.2451787861	3.0289541497	3.798500745	3.4539247464	2.5121281516	3.8830713168	1.8322814963	3.2805332109	3.1643738251	2.9982170276	3.5845275424	2.2805717256	3.5067168961	3.0053324164	3.4794575276	3.9636576431	3.5272171982	2.339292321	3.4226847166	1.6505797594	3.639270305	4.0098182589	3.0305722265	2.9002260683	3.8331884783	3.1790978139	3.3686497198	2.3822697307	3.7058539629	3.8102286041	3.9366614929	3.0991627449	2.7467316804	3.0628873756	3.1898069125	3.9032881527	3.7327573894	3.7079989669	3.4305600004	2.0979024538	2.6244124026	3.6474966523	3.8290170772	3.1481464271	2.8574996289	3.7591215839	3.9344129672	3.2985857521	3.9842444136	3.5448497586	2.7506552488	3.1702046806	4.1615986912	3.5402519454	3.7575064093	3.8668130193	4.1420430136	3.2139903937	2.7287877587	3.4594939161	2.5585908709	3.2489851991	2.9819606537	2.4534704626	1.6098503792	0	2.8533408724	3.4797974977	4.2807560877	2.6087712602	3.5649555669	3.165166507	3.4794575276	2.8008694978	2.0638349151
"TPI1"	4.0326743452	3.9900123679	6.8124067489	6.0705774603	5.8756248251	5.249615605	5.6910863742	6.1433616193	4.8185466549	4.2227812453	4.1004465659	5.5126420331	5.8658362389	4.3146183155	6.3470703936	4.5904754604	5.3880113149	3.1950630642	5.5205050438	6.2776717562	5.3904822112	5.8628492473	4.6188170572	5.1544429561	6.3411777307	5.1198458762	4.0222355777	5.9195619348	4.3767581955	4.971705548	6.3176657259	5.392574356	4.5904888168	5.75754418	5.792089645	6.3352909039	4.7534355703	4.3386533517	5.4679184906	4.3376992302	5.5788839355	6.9714355125	4.6406482363	6.6928498406	3.5293059362	3.3956224461	4.8548129927	5.9459155626	5.0514243946	6.0989228459	4.5900344472	5.092405749	3.5413360468	3.9945904504	5.7278172846	3.7016412298	6.0055329493	4.6453911547	6.6640426794	6.4501346758	6.7397430671	6.3020567771	5.5599003233	4.1098303561	4.7103789203	5.9050097006	5.2552462456	3.8870545365	3.159835784	6.0555275112	2.5797294124	5.1820843563	6.0789951262	6.6855628154	4.3360473512	4.85611425	3.478871993	6.2776717562	6.3104285235	5.3297839908
